
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
1) KOKB_GPS    5769.332        17.811              17.811              0.744
2) CHAT_GPS    4318.944        13.333              31.144              0.764
3) KWJ1_GPS    4038.178        12.467              43.611              1.296
4) THTI_GPS    2839.932        8.767              52.378              0.820
5) TRUK_GPS    1718.079        5.304              57.682              0.928
6) MARC_GPS    1517.449        4.685              62.367              1.217
7) 950499_G    360.181        1.112              63.479              4.983
8) 950500_G    202.568        0.625              64.104              1.516
9) 960751_G    185.077        0.571              64.675              6.268
10) 960750_G    163.242        0.504              65.179              2.998
11) NRIL_GPS    153.548        0.474              65.653              3.886
12) 960749_G    133.724        0.413              66.066              2.538
13) 950227_G    114.044        0.352              66.418              0.449
14) 93047_GP    105.648        0.326              66.744              0.232
15) 93039_GP    98.536        0.304              67.049              0.259
16) 960746_G    95.648        0.295              67.344              0.447
17) 960602_G    94.075        0.290              67.634              1.696
18) 950497_G    93.401        0.288              67.923              0.162
19) 960748_G    89.702        0.277              68.200              5.586
20) 93044_GP    75.485        0.233              68.433              0.209
21) 93036_GP    71.860        0.222              68.655              0.478
22) 960597_G    67.925        0.210              68.864              3.000
23) 93034_GP    67.606        0.209              69.073              0.405
24) 950496_G    67.076        0.207              69.280              0.058
25) 960742_G    66.713        0.206              69.486              1.584
26) 950226_G    66.571        0.206              69.691              1.261
27) 960600_G    66.054        0.204              69.895              3.562
28) 950495_G    65.714        0.203              70.098              1.682
29) 960736_G    64.931        0.200              70.299              0.994
30) 960745_G    64.564        0.199              70.498              0.821
31) 960744_G    64.555        0.199              70.697              1.429
32) 960737_G    61.706        0.190              70.888              0.959
33) 93041_GP    60.589        0.187              71.075              0.579
34) 950498_G    60.589        0.187              71.262              2.931
35) 93035_GP    60.097        0.186              71.447              0.129
36) 960741_G    59.289        0.183              71.630              0.746
37) 940082_G    57.646        0.178              71.808              0.134
38) 960743_G    57.101        0.176              71.985              3.830
39) 93037_GP    56.261        0.174              72.158              0.915
40) 960740_G    54.437        0.168              72.326              1.101
41) 93060_GP    54.018        0.167              72.493              11.744
42) 940100_G    53.190        0.164              72.657              2.264
43) 960735_G    51.618        0.159              72.817              0.838
44) 93045_GP    51.186        0.158              72.975              0.258
45) 960596_G    51.027        0.158              73.132              0.791
46) 960738_G    51.002        0.157              73.290              0.599
47) 970804_G    50.329        0.155              73.445              0.575
48) 950445_G    49.031        0.151              73.597              0.115
49) 950444_G    46.144        0.142              73.739              0.207
50) 93033_GP    45.327        0.140              73.879              1.769
51) 960734_G    44.617        0.138              74.017              1.292
52) KRON_GKA    44.382        0.137              74.154              2.669
53) 95113_GP    43.935        0.136              74.289              1.545
54) 950448_G    43.679        0.135              74.424              0.393
55) 960683_G    42.923        0.133              74.557              0.731
56) 950228_G    42.800        0.132              74.689              4.051
57) 950446_G    42.449        0.131              74.820              1.962
58) 93026_GP    42.365        0.131              74.951              0.832
59) 960747_G    42.084        0.130              75.081              5.019
60) 950125_G    41.906        0.129              75.210              0.536
61) 960584_G    41.815        0.129              75.339              0.229
62) 93008_GP    40.645        0.125              75.464              0.810
63) 93032_GP    39.567        0.122              75.587              0.543
64) 970791_G    39.461        0.122              75.708              0.465
65) 942003_G    39.002        0.120              75.829              5.395
66) 950229_G    38.743        0.120              75.948              0.457
67) 940083_G    38.261        0.118              76.067              0.029
68) 960519_G    37.985        0.117              76.184              0.215
69) 940009_G    37.752        0.117              76.300              0.525
70) 960724_G    37.223        0.115              76.415              2.751
71) 960684_G    37.183        0.115              76.530              0.612
72) 950122_G    37.161        0.115              76.645              0.404
73) 950124_G    36.417        0.112              76.757              0.361
74) 93017_GP    36.393        0.112              76.870              1.302
75) 950442_G    36.378        0.112              76.982              0.152
76) 950138_G    35.709        0.110              77.092              0.345
77) 950112_G    35.385        0.109              77.201              0.250
78) 93030_GP    34.491        0.106              77.308              1.275
79) 950118_G    33.865        0.105              77.412              1.279
80) 93027_GP    33.831        0.104              77.517              1.628
81) 950443_G    33.634        0.104              77.621              0.386
82) 93016_GP    33.623        0.104              77.724              0.895
83) 93012_GP    33.546        0.104              77.828              0.282
84) 93058_GP    33.329        0.103              77.931              9.351
85) F057_GPS    33.295        0.103              78.034              2.235
86) 970788_G    32.609        0.101              78.134              1.579
87) 940084_G    32.056        0.099              78.233              0.652
88) 93006_GP    32.003        0.099              78.332              0.148
89) 950134_G    31.792        0.098              78.430              0.727
90) 93025_GP    31.762        0.098              78.528              0.880
91) 960531_G    31.749        0.098              78.626              0.833
92) 93086_GP    31.651        0.098              78.724              0.153
93) 950116_G    31.506        0.097              78.821              0.605
94) 93018_GP    31.132        0.096              78.917              0.398
95) 93028_GP    31.115        0.096              79.014              0.784
96) F047_GPS    30.442        0.094              79.108              0.735
97) F044_GPS    30.355        0.094              79.201              1.631
98) 93029_GP    30.287        0.093              79.295              0.924
99) F034_GPS    29.971        0.093              79.387              1.263
100) F059_GPS    29.317        0.091              79.478              0.447
101) UKAM_GKA    29.138        0.090              79.568              10.973
102) 950440_G    28.823        0.089              79.657              0.128
103) 950113_G    28.654        0.088              79.745              1.854
104) 93023_GP    28.643        0.088              79.834              0.481
105) 940015_G    28.410        0.088              79.921              0.805
106) C065_GPS    28.264        0.087              80.009              0.692
107) F037_GPS    28.203        0.087              80.096              0.547
108) 940085_G    28.116        0.087              80.182              0.173
109) F042_GPS    28.083        0.087              80.269              0.306
110) 93010_GP    28.009        0.086              80.356              0.146
111) 940006_G    27.937        0.086              80.442              0.530
112) C059_GPS    27.840        0.086              80.528              0.403
113) 960625_G    27.570        0.085              80.613              0.165
114) F029_GPS    27.526        0.085              80.698              0.418
115) 950224_G    27.505        0.085              80.783              0.750
116) C062_GPS    27.485        0.085              80.868              0.336
117) F041_GPS    27.284        0.084              80.952              0.458
118) C056_GPS    27.228        0.084              81.036              1.259
119) F049_GPS    27.044        0.083              81.119              1.256
120) C064_GPS    26.839        0.083              81.202              0.286
121) 960758_G    26.554        0.082              81.284              1.147
122) C063_GPS    25.965        0.080              81.364              0.797
123) 93063_GP    25.811        0.080              81.444              0.685
124) C061_GPS    25.800        0.080              81.524              1.263
125) 970814_G    25.735        0.079              81.603              1.160
126) 970830_G    25.385        0.078              81.682              0.167
127) C058_GPS    25.024        0.077              81.759              0.309
128) F027_GPS    24.906        0.077              81.836              1.038
129) 93019_GP    24.834        0.077              81.912              0.322
130) 950424_G    24.815        0.077              81.989              0.163
131) 93020_GP    24.717        0.076              82.065              0.592
132) 950447_G    24.671        0.076              82.141              0.378
133) 93024_GP    24.480        0.076              82.217              0.240
134) 960512_G    24.305        0.075              82.292              0.945
135) B072_GPS    24.020        0.074              82.366              1.118
136) 950173_G    23.954        0.074              82.440              0.394
137) 960515_G    23.922        0.074              82.514              0.828
138) UDUN_GEC    23.615        0.073              82.587              1.243
139) F022_GPS    23.506        0.073              82.659              3.313
140) 960550_G    23.455        0.072              82.732              0.189
141) 960623_G    23.436        0.072              82.804              0.123
142) F025_GPS    23.401        0.072              82.876              1.602
143) 960755_G    23.354        0.072              82.949              0.580
144) 93013_GP    23.333        0.072              83.021              0.946
145) 970835_G    23.202        0.072              83.092              5.395
146) F020_GPS    23.177        0.072              83.164              3.849
147) 93015_GP    23.047        0.071              83.235              0.802
148) 970793_G    22.952        0.071              83.306              0.909
149) B065_GPS    22.884        0.071              83.376              1.150
150) 970800_G    22.804        0.070              83.447              1.060
151) 960521_G    22.468        0.069              83.516              2.504
152) 93003_GP    22.352        0.069              83.585              1.273
153) 93065_GP    22.338        0.069              83.654              0.302
154) 950488_G    22.218        0.069              83.723              2.751
155) B070_GPS    22.135        0.068              83.791              0.658
156) F060_GPS    22.129        0.068              83.859              0.918
157) 950115_G    22.076        0.068              83.928              0.540
158) 960716_G    22.047        0.068              83.996              0.595
159) 970821_G    22.025        0.068              84.064              0.932
160) 970796_G    21.981        0.068              84.131              3.481
161) 93104_GP    21.923        0.068              84.199              0.520
162) B073_GPS    21.907        0.068              84.267              0.278
163) 950492_G    21.857        0.067              84.334              4.330
164) 93011_GP    21.755        0.067              84.401              0.654
165) 93007_GP    21.745        0.067              84.469              1.492
166) 940036_G    21.680        0.067              84.535              0.457
167) 970834_G    21.599        0.067              84.602              3.843
168) 950175_G    21.587        0.067              84.669              0.408
169) 93031_GP    21.578        0.067              84.735              1.644
170) 940098_G    21.577        0.067              84.802              1.063
171) 93085_GP    21.479        0.066              84.868              1.278
172) 950484_G    21.466        0.066              84.935              1.287
173) 93054_GP    21.462        0.066              85.001              0.278
174) NALY_GKA    21.427        0.066              85.067              4.314
175) 970815_G    21.411        0.066              85.133              0.279
176) 950487_G    21.345        0.066              85.199              3.328
177) 940005_G    21.253        0.066              85.265              0.820
178) 960549_G    21.209        0.065              85.330              0.350
179) 950174_G    21.203        0.065              85.396              0.265
180) 960607_G    21.184        0.065              85.461              1.064
