
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
1) SRS1_PBO    26478.312        2.508              2.508              3.338
2) FGST_PBO    25394.054        2.406              4.914              2.294
3) COPR_PBO    25079.650        2.376              7.290              2.786
4) CAT2_PBO    23350.002        2.212              9.502              1.760
5) CIRX_PBO    22002.713        2.084              11.587              1.192
6) CSCI_PBO    21952.515        2.080              13.666              1.740
7) SBCC_PBO    21006.243        1.990              15.656              0.614
8) ECFS_PBO    19736.701        1.870              17.526              1.599
9) CNPP_PBO    18360.111        1.739              19.265              2.058
10) SLMS_PBO    16509.360        1.564              20.830              12.510
11) MLFP_PBO    15656.593        1.483              22.313              1.928
12) HOGS_PBO    13592.898        1.288              23.600              7.442
13) MASW_PBO    13577.058        1.286              24.887              7.634
14) P284_PBO    13146.052        1.245              26.132              2.907
15) MIG1_PBO    12133.164        1.149              27.282              3.593
16) EWPP_PBO    12104.596        1.147              28.428              0.796
17) TJRN_PBO    11867.298        1.124              29.553              2.525
18) BAR1_PBO    10916.650        1.034              30.587              2.879
19) P473_PBO    9783.431        0.927              31.514              2.620
20) P472_PBO    9777.530        0.926              32.440              2.636
21) CSST_PBO    9491.091        0.899              33.339              2.518
22) P066_PBO    9232.682        0.875              34.214              2.203
23) SOMT_PBO    9194.550        0.871              35.085              2.218
24) P483_PBO    9091.713        0.861              35.946              2.557
25) VIMT_PBO    8995.792        0.852              36.798              0.443
26) P480_PBO    8940.915        0.847              37.645              3.172
27) P482_PBO    8887.036        0.842              38.487              3.327
28) HVYS_PBO    8718.537        0.826              39.313              3.107
29) FMVT_PBO    8618.718        0.817              40.130              1.559
30) PKRD_PBO    8611.842        0.816              40.946              3.335
31) BILL_PBO    8490.021        0.804              41.750              2.095
32) P486_PBO    8238.347        0.780              42.530              5.510
33) NHRG_PBO    8131.350        0.770              43.301              3.464
34) BVPP_PBO    7439.490        0.705              44.005              4.820
35) P532_PBO    7355.852        0.697              44.702              6.922
36) THTI_GPS    7060.316        0.669              45.371              32.294
